instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
1_1_1,4,P21,43,false,3,55,12
1_1_1,4,P20,56,true,4,70,14
1_1_1,4,P23,53,false,5,60,7
1_1_1,4,P22,47,false,3,55,8
1_1_1,4,P25,44,false,3,50,6
1_1_1,4,P24,57,false,6,70,13
1_1_1,4,P27,53,false,5,60,7
1_1_1,4,P26,48,false,5,45,0
1_1_1,4,P29,46,true,3,51,5
1_1_1,4,P28,55,false,5,70,15
1_1_1,4,P30,50,false,6,55,5
1_1_1,4,P32,56,false,4,70,14
1_1_1,4,P31,54,true,5,70,16
1_1_1,4,P34,46,false,3,50,4
1_1_1,4,P33,43,true,3,55,12
1_1_1,4,P36,56,false,5,70,14
1_1_1,4,P35,50,true,5,60,10
1_1_1,4,P38,49,false,6,55,6
1_1_1,4,P37,45,false,4,45,0
1_1_1,4,P39,52,false,6,55,3
1_1_1,4,P41,43,false,3,55,12
1_1_1,4,P40,57,false,5,70,13
1_1_1,4,P43,51,false,6,55,4
1_1_1,4,P42,47,false,3,51,4
1_1_1,4,P45,44,true,3,50,6
1_1_1,4,P44,55,false,4,70,15
1_1_1,4,P47,53,false,6,60,7
1_1_1,4,P46,48,false,6,45,0
1_1_1,4,P49,46,false,3,55,9
1_1_1,4,P48,56,false,4,70,14
1_1_1,4,P1,42,false,4,45,3
1_1_1,4,P2,46,false,3,50,4
1_1_1,4,P3,47,false,3,55,8
1_1_1,4,P4,44,false,4,40,0
1_1_1,4,P5,50,false,4,60,10
1_1_1,4,P6,53,true,5,61,8
1_1_1,4,P7,43,false,3,55,12
1_1_1,4,P8,48,false,6,45,0
1_1_1,4,P9,52,false,5,55,3
1_1_1,4,P50,57,false,5,70,13
1_1_1,4,P10,55,false,6,70,15
1_1_1,4,P12,50,false,5,55,5
1_1_1,4,P11,46,false,3,50,4
1_1_1,4,P14,45,true,4,45,0
1_1_1,4,P13,54,false,4,70,16
1_1_1,4,P16,53,false,6,60,7
1_1_1,4,P15,49,true,5,60,11
1_1_1,4,P18,46,false,3,55,9
1_1_1,4,P17,56,false,5,70,14
1_1_1,4,P19,51,true,3,65,14
1_1_2,3,P21,43,false,5,45,2
1_1_2,3,P20,56,true,4,70,14
1_1_2,3,P23,53,true,5,60,7
1_1_2,3,P22,47,true,6,45,0
1_1_2,3,P25,44,true,3,50,6
1_1_2,3,P24,57,false,6,70,13
1_1_2,3,P27,53,true,5,60,7
1_1_2,3,P26,48,false,5,55,7
1_1_2,3,P29,46,false,4,46,0
1_1_2,3,P28,55,false,5,70,15
1_1_2,3,P30,50,false,6,55,5
