instanceId,iteration,projectId,testId,category,tempC,humidity,durationDays,needsVoltage,dueDateDays,samples,sampleIdx,chamberId,stationIdx,startDay,endDay
1_1_1,4,P1,GAS_43,GAS,43,NORMAL,10,false,42,4,0,T002,0,0,10
1_1_1,4,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,42,4,0,T002,0,10,15
1_1_1,4,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,42,4,1,T002,1,10,15
1_1_1,4,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,42,4,2,T002,2,10,15
1_1_1,4,P1,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,42,4,3,T002,3,10,15
1_1_1,4,P1,EE_32,OTHER,32,NORMAL,15,false,42,4,0,T006,0,15,30
1_1_1,4,P1,EE_16,OTHER,16,NORMAL,15,false,42,4,1,T010,0,15,30
1_1_1,4,P1,PERF_25,OTHER,25,NORMAL,10,false,42,4,2,T001,0,15,25
1_1_1,4,P1,PERF_38,OTHER,38,NORMAL,10,false,42,4,3,T008,0,15,25
1_1_1,4,P1,PERF_16,OTHER,16,NORMAL,10,false,42,4,2,T010,1,25,35
1_1_1,4,P1,CU_10,CONSUMER_USAGE,10,NORMAL,15,false,42,4,3,T014,0,25,40
1_1_1,4,P1,CU_25,CONSUMER_USAGE,25,85%,15,false,42,4,0,T003,0,30,45
1_1_1,4,P1,CU_32,CONSUMER_USAGE,32,85%,15,false,42,4,1,T005,0,30,45
1_1_1,4,P21,GAS_43,GAS,43,NORMAL,10,false,43,3,0,T002,4,0,10
1_1_1,4,P33,GAS_43,GAS,43,NORMAL,10,true,43,3,0,T002,5,0,10
1_1_1,4,P41,GAS_43,GAS,43,NORMAL,10,false,43,3,0,T002,6,0,10
1_1_1,4,P7,GAS_43,GAS,43,NORMAL,10,false,43,3,0,T002,7,0,10
1_1_1,4,P21,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,43,3,0,T002,4,10,15
1_1_1,4,P21,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,43,3,1,T002,5,10,15
1_1_1,4,P21,PULLDOWN_43,PULLDOWN,43,NORMAL,5,false,43,3,2,T002,6,10,15
1_1_1,4,P33,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,43,3,0,T002,7,10,15
1_1_1,4,P33,PULLDOWN_43,PULLDOWN,43,NORMAL,5,true,43,3,1,T026,0,10,15
