instanceId,iteration,vnsIteration,kind,totalLateness,totalSamples,stage2ElapsedMs
1_1_1,1,0,PRESHAKE,1036,148,30660
1_1_1,2,0,PRESHAKE,741,182,104204
1_1_1,3,0,PRESHAKE,477,210,144657
1_1_1,4,0,PRESHAKE,411,218,103843
1_1_1,5,0,PRESHAKE,411,218,31550
1_1_2,1,0,PRESHAKE,446,215,216180
1_1_2,2,0,PRESHAKE,400,225,66877
1_1_2,3,0,PRESHAKE,373,229,69722
1_1_2,4,0,PRESHAKE,378,228,33836
1_1_3,1,0,PRESHAKE,521,202,173372
1_1_3,2,0,PRESHAKE,371,220,89734
1_1_3,3,0,PRESHAKE,371,220,33817
2_1_1,1,0,PRESHAKE,1027,159,25667
2_1_1,2,0,PRESHAKE,537,201,162711
2_1_1,3,0,PRESHAKE,521,202,70486
2_1_1,4,0,PRESHAKE,516,201,17733
2_1_2,1,0,PRESHAKE,587,192,86568
2_1_2,2,0,PRESHAKE,474,209,70357
2_1_2,3,0,PRESHAKE,474,209,17752
2_1_3,1,0,PRESHAKE,626,196,60265
2_1_3,2,0,PRESHAKE,518,205,105993
2_1_3,3,0,PRESHAKE,508,205,53990
3_1_1,1,0,PRESHAKE,820,179,131533
3_1_1,2,0,PRESHAKE,596,200,214520
3_1_1,3,0,PRESHAKE,551,205,57471
3_1_1,4,0,PRESHAKE,498,207,128056
3_1_1,5,0,PRESHAKE,498,207,32926
3_1_2,1,0,PRESHAKE,909,162,106664
3_1_2,2,0,PRESHAKE,551,194,219019
3_1_2,3,0,PRESHAKE,530,208,199176
3_1_2,4,0,PRESHAKE,530,206,30508
3_1_2,5,0,PRESHAKE,532,206,27855
3_1_3,1,0,PRESHAKE,893,168,110132
3_1_3,2,0,PRESHAKE,410,209,205223
3_1_3,3,0,PRESHAKE,473,222,124065
3_1_3,4,0,PRESHAKE,316,245,151648
3_1_3,5,0,PRESHAKE,499,244,84973
4_1_1,1,0,PRESHAKE,759,176,190331
4_1_1,2,0,PRESHAKE,440,200,161601
4_1_1,3,0,PRESHAKE,390,217,243908
4_1_1,4,0,PRESHAKE,400,226,142139
4_1_1,5,0,PRESHAKE,375,232,100924
4_1_2,1,0,PRESHAKE,635,188,165159
4_1_2,2,0,PRESHAKE,416,227,106924
4_1_2,3,0,PRESHAKE,385,231,101444
4_1_3,1,0,PRESHAKE,616,190,186123
4_1_3,2,0,PRESHAKE,417,229,156385
4_1_3,3,0,PRESHAKE,382,231,103506
5_1_1,1,0,PRESHAKE,593,183,152792
5_1_1,2,0,PRESHAKE,505,194,305442
