instanceId,projects,bestIteration,totalLateness,lateProjects,totalSamples,horizonDays,avgStationUtil,maxStationUtil,avgChamberUtil,stage1RuntimeMs,stage2PreShakeTotalLateness,stage2PreShakeTotalSamples,stage2PreShakeRuntimeMs,stage2DidShake,stage2RuntimeMs,stage2Passes,stage2Evals,stage2Shakes,stage2VnsRuntimeMs,runtimeMs
1_1_1,50,4,411,44,218,70,0.412425,0.785714,0.411033,7901,411,218,103843,false,103843,10,7394,0,0,455786
1_1_2,50,3,373,39,229,70,0.437800,0.785714,0.410799,8231,373,229,69722,false,69722,5,4907,0,0,432540
1_1_3,50,2,371,36,220,85,0.347438,0.764706,0.345536,4230,371,220,89734,false,89734,8,11892,0,0,319924
2_1_1,50,4,516,46,201,75,0.389138,0.666667,0.376627,5761,516,201,17733,false,17733,2,2520,0,0,305846
2_1_2,50,2,474,46,209,75,0.383179,0.733333,0.374127,4890,474,209,70357,false,70357,6,9152,0,0,192290
2_1_3,50,3,508,46,205,75,0.393681,0.733333,0.380714,7059,508,205,53990,false,53990,2,4360,0,0,245905
3_1_1,50,4,498,46,207,75,0.387006,0.733333,0.382540,8226,498,207,128056,false,128056,7,9353,0,0,604169
3_1_2,50,3,530,46,208,80,0.387726,0.687500,0.349275,8027,530,208,199176,false,199176,11,16498,0,0,622838
3_1_3,50,4,316,37,245,70,0.424352,0.785714,0.430251,6317,316,245,151648,false,151649,10,9982,0,0,713261
4_1_1,50,5,375,41,232,75,0.408223,0.666667,0.396468,7689,375,232,100924,false,100924,4,6747,0,0,884458
4_1_2,50,3,385,40,231,75,0.422831,0.733333,0.388988,8443,385,231,101444,false,101444,5,6939,0,0,413084
4_1_3,50,3,382,40,231,75,0.419005,0.733333,0.403395,8675,382,231,103506,false,103506,5,7235,0,0,486207
