instanceId;projectId;testScenarioId;dueScenarioId;voltScenarioId;dueDateDays;needsVolt;GasAmount;Pulldown;EE_32;EE_25;EE_16;Perf_25;Perf_43;Perf_38;Perf_32;Perf_16;Perf_10;FreezingC;TemperatureRise;CU_10;CU_25;CU_32
1_1_1;P1;1;1;1;42;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_1;P2;1;1;1;46;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_1;P3;1;1;1;47;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_1;P4;1;1;1;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P5;1;1;1;50;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
1_1_1;P6;1;1;1;53;1;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P7;1;1;1;43;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_1;P8;1;1;1;48;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_1;P9;1;1;1;52;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_1;P10;1;1;1;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
1_1_1;P11;1;1;1;46;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P12;1;1;1;50;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P13;1;1;1;54;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_1;P14;1;1;1;45;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P15;1;1;1;49;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
1_1_1;P16;1;1;1;53;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_1;P17;1;1;1;56;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_1;P18;1;1;1;46;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_1;P19;1;1;1;51;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_1;P20;1;1;1;56;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P21;1;1;1;43;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P22;1;1;1;47;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_1;P23;1;1;1;53;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1
1_1_1;P24;1;1;1;57;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P25;1;1;1;44;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_1;P26;1;1;1;48;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P27;1;1;1;53;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_1;P28;1;1;1;55;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_1;P29;1;1;1;46;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1
1_1_1;P30;1;1;1;50;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P31;1;1;1;54;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P32;1;1;1;56;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_1;P33;1;1;1;43;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
1_1_1;P34;1;1;1;46;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_1;P35;1;1;1;50;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
1_1_1;P36;1;1;1;56;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P37;1;1;1;45;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
1_1_1;P38;1;1;1;49;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P39;1;1;1;52;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1
1_1_1;P40;1;1;1;57;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P41;1;1;1;43;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
1_1_1;P42;1;1;1;47;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_1;P43;1;1;1;51;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P44;1;1;1;55;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_1;P45;1;1;1;44;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
